count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
3080,,,,26181311,-16.12478794,-58.12524065,56,,,,,2004
3136,,,,27704160,-16.37407043,-58.12524065,57,,,,,2004
3136,,,,25840900,-16.62559871,-58.12524065,57,,,,,2004
3080,,,,25102250,-16.8748812,-58.12524065,57,,,,,2004
3136,,,,26834483,-17.12416369,-58.12524065,57,,,,,2004
1,,,,7190558,-7.496469635,-57.99723072,13,,,,,2004
817,,,,11066864,-7.676132692,-57.96129811,30,,,,,2004
1904,,,,10735756,-7.887236784,-57.92311971,30,,,,,2004
2956,,,,11911470,-8.129781911,-57.88044974,43,,,,,2004
3136,,,,7027392,-8.374572825,-57.87371237,43,,,,,2004
3136,,,,7270560,-8.626101105,-57.87371237,45,,,,,2004
3080,,,,7255872,-8.875383596,-57.87371237,45,,,,,2004
3136,,,,5351424,-9.124666088,-57.87371237,44,,,,,2004
3136,,,,4194432,-9.376194367,-57.87371237,38,,,,,2004
3080,,,,7029024,-9.625476859,-57.87371237,57,,,,,2004
3136,,,,7215446,-9.87475935,-57.87371237,57,,,,,2004
3136,,,,6267900,-10.12628763,-57.87371237,38,,,,,2004
3080,,,,5305300,-10.37557012,-57.87371237,38,,,,,2004
3136,,,,7078500,-10.62485261,-57.87371237,38,,,,,2004
3136,,,,7258500,-10.87638089,-57.87371237,38,,,,,2004
3080,,,,7477500,-11.12566338,-57.87371237,38,,,,,2004
3136,,,,19269250,-11.37494587,-57.87371237,38,,,,,2004
3136,,,,19592650,-11.62647415,-57.87371237,38,,,,,2004
3080,,,,11651800,-11.87575665,-57.87371237,38,,,,,2004
3136,,,,19113900,-12.12503914,-57.87371237,38,,,,,2004
3080,,,,20247700,-12.37432163,-57.87371237,37,,,,,2004
3136,,,,22792224,-12.62360412,-57.87371237,36,81.36543672,222.8154367,117.3654367,0.242409953,2004
3136,70.61397921,234.0639792,128.6139792,24233664,-12.8751324,-57.87371237,58,49.61510405,235.865104,107.615104,0.242150578,2004
3080,47.19676988,213.127859,105.1967699,23320752,-13.12441489,-57.87371237,58,61.75874968,227.176734,119.7587497,0.241981078,2004
3136,37.62622257,208.1506353,95.62622257,21001344,-13.37369738,-57.87371237,58,61.7557569,225.2818052,119.7557569,0.241752297,2004
3136,43.24748116,208.761484,101.2474812,24072552,-13.62522566,-57.87371237,58,56.47304211,223.5742381,114.4730421,0.241559688,2004
3080,41.34055735,206.3687837,97.34055735,20111616,-13.87450815,-57.87371237,56,61.72597617,219.6256429,117.7259762,0.241269039,2004
3136,29.62552937,200.3243072,85.62552937,22355520,-14.12379064,-57.87371237,56,65.96655639,228.7223889,121.9665564,0.240963047,2004
3136,15.83740997,188.2067765,71.83740997,20242182,-14.37531892,-57.87371237,56,9.661135126,183.3173333,65.66113513,0.240851047,2004
3080,,,,20301519,-14.62460141,-57.87371237,55,,,,,2004
3136,,,,20693508,-14.87388391,-57.87371237,55,,,,,2004
3136,,,,21043602,-15.12541219,-57.87371237,56,,,,,2004
3080,,,,14540358,-15.37469468,-57.87371237,56,,,,,2004
3136,,,,24171551,-15.62397717,-57.87371237,56,71.76336806,233.2133681,127.7633681,0.239518266,2004
3136,,,,17657764,-15.87550545,-57.87371237,56,,,,,2004
3080,,,,18510332,-16.12478794,-57.87371237,56,,,,,2004
