system:index,bucketMean,count,year,.geo
4_200,110.7759943,2,2007,
4_201,111.3213309,1,2007,
4_202,111.8669911,2,2007,
4_203,112.358561,1,2007,
4_204,112.7139594,3,2007,
4_205,113.1701818,3,2007,
4_206,113.75,0,2007,
4_207,114.0533506,1,2007,
4_208,114.5899308,1,2007,
4_209,115.3619325,2,2007,
4_210,115.6023314,1,2007,
4_211,116.25,0,2007,
4_212,116.6788179,2,2007,
4_213,117.25,0,2007,
4_214,117.8261503,2,2007,
4_215,118.2578829,2,2007,
4_216,118.6314476,1,2007,
4_217,119.25,0,2007,
4_218,119.75,0,2007,
4_219,120.4042491,2,2007,
4_220,120.6660716,1,2007,
4_221,121.1852706,1,2007,
4_222,121.9248806,1,2007,
4_223,122.25,0,2007,
4_224,122.75,0,2007,
4_225,123.2647827,5,2007,
4_226,123.75,0,2007,
4_227,124.1167033,1,2007,
4_228,124.75,0,2007,
4_229,125.25,0,2007,
4_230,125.75,0,2007,
4_231,126.25,0,2007,
4_232,126.75,0,2007,
4_233,127.1706868,1,2007,
4_234,127.75,0,2007,
4_235,128.25,0,2007,
4_236,128.75,0,2007,
4_237,129.25,0,2007,
4_238,129.75,0,2007,
4_239,130.25,0,2007,
4_240,130.75,0,2007,
4_241,131.0463931,1,2007,
4_242,131.75,0,2007,
4_243,132.4436727,1,2007,
4_244,132.75,0,2007,
4_245,133.25,0,2007,
4_246,133.75,0,2007,
4_247,134.25,0,2007,
4_248,134.75,0,2007,
4_249,135.25,0,2007,
4_250,135.75,0,2007,
4_251,136.25,0,2007,
4_252,136.7584075,1,2007,
5_0,15.87637442,1,2008,
5_1,16.5,0,2008,
5_2,17.5,0,2008,
5_3,18.5,0,2008,
5_4,19.5,0,2008,
5_5,20.5,0,2008,
5_6,21.5,0,2008,
5_7,22.5,0,2008,
5_8,23.5,0,2008,
5_9,24.70279469,1,2008,
5_10,25.5,0,2008,
5_11,26.5,0,2008,
5_12,27.5,0,2008,
5_13,28.5,0,2008,
5_14,29.5,0,2008,
5_15,30.5,0,2008,
5_16,31.5,0,2008,
5_17,32.5,0,2008,
5_18,33.5,0,2008,
5_19,34.5,0,2008,
5_20,35.5,0,2008,
5_21,36.89316222,1,2008,
5_22,37.5,0,2008,
5_23,38.5,0,2008,
5_24,39.5,0,2008,
5_25,40.5,0,2008,
5_26,41.5,0,2008,
5_27,42.79073924,1,2008,
